Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,State
ORD00001,2023-04-13,C040,P002,2,447.59,TO
ORD00002,2024-03-11,C012,P017,4,389.5,GO
ORD00003,2023-09-28,C015,P006,2,260.23,AC
ORD00004,2023-04-17,C015,P012,3,245.11,PR
ORD00005,2023-03-13,C017,P013,4,287.14,SP
ORD00006,2024-12-01,C034,P004,4,185.34,ES
ORD00007,2023-01-21,C044,P015,4,353.38,AM
ORD00008,2024-09-06,C035,P016,1,346.17,AM
ORD00009,2023-05-02,C039,P019,2,291.58,RS
ORD00010,2024-04-11,C038,P015,3,38.27,MT
ORD00011,2023-08-03,C014,P006,4,72.15,SE
ORD00012,2023-11-27,C005,P020,3,29.25,PI
ORD00013,2024-04-03,C030,P006,4,362.07,RR
ORD00014,2023-03-29,C004,P005,3,244.02,PI
ORD00015,2024-01-08,C015,P002,1,477.94,RR
ORD00016,2023-04-10,C039,P020,3,476.64,MS
ORD00017,2024-10-25,C035,P002,2,401.1,BA
ORD00018,2023-05-11,C045,P005,3,227.09,DF
ORD00019,2024-10-23,C010,P003,4,165.01,PB
ORD00020,2023-11-05,C002,P006,4,108.48,PE
ORD00021,2023-12-10,C044,P011,1,123.92,PR
ORD00022,2024-05-06,C024,P005,1,495.26,GO
ORD00023,2024-02-18,C028,P018,4,269.87,MG
ORD00024,2024-01-21,C022,P014,4,16.0,AM
ORD00025,2023-07-11,C044,P010,3,31.7,SE
ORD00026,2023-10-04,C032,P003,4,234.8,MT
ORD00027,2023-06-10,C031,P016,1,227.31,PA
ORD00028,2024-04-04,C019,P016,1,208.72,PB
ORD00029,2023-11-10,C021,P011,2,413.57,ES
ORD00030,2023-01-22,C003,P004,2,354.55,CE
ORD00031,2023-09-10,C006,P011,4,62.63,AM
ORD00032,2024-07-14,C032,P008,3,187.71,SE
ORD00033,2024-04-19,C002,P016,4,302.37,SC
ORD00034,2023-02-28,C024,P008,1,197.42,SP
ORD00035,2024-05-25,C045,P009,1,112.07,RS
ORD00036,2024-11-12,C027,P014,1,317.75,MA
ORD00037,2024-04-20,C009,P008,4,305.1,SC
ORD00038,2024-11-30,C013,P016,4,487.56,RN
ORD00039,2023-07-09,C014,P002,2,284.92,MA
ORD00040,2024-11-17,C011,P020,1,438.41,RN
ORD00041,2024-07-16,C014,P019,2,475.11,SP
ORD00042,2024-07-20,C016,P020,1,223.04,DF
ORD00043,2023-09-01,C010,P020,2,35.92,BA
ORD00044,2024-05-19,C020,P019,4,80.31,DF
ORD00045,2023-05-11,C016,P019,3,256.95,PB
ORD00046,2024-04-29,C034,P018,3,447.55,PE
ORD00047,2024-10-08,C016,P013,1,330.52,TO
ORD00048,2023-01-21,C014,P017,4,108.73,PI
ORD00049,2023-06-16,C028,P001,1,353.51,RN
ORD00050,2023-10-01,C018,P005,2,448.17,SE
ORD00051,2024-01-23,C026,P020,4,24.81,AL
ORD00052,2024-08-23,C038,P013,2,128.98,MG
ORD00053,2023-11-12,C007,P006,2,85.06,RO
ORD00054,2023-01-14,C045,P010,1,394.21,PI
ORD00055,2023-08-30,C034,P009,2,446.82,ES
ORD00056,2023-12-12,C047,P006,1,281.73,MT
ORD00057,2024-07-18,C049,P001,2,425.62,RR
ORD00058,2023-12-06,C045,P018,1,331.9,RS
ORD00059,2023-04-02,C007,P007,2,331.78,SE
ORD00060,2024-01-02,C033,P010,2,294.06,TO
ORD00061,2024-03-30,C035,P012,2,34.51,MS
ORD00062,2024-03-03,C050,P015,1,469.12,PE
ORD00063,2024-05-23,C039,P017,4,184.33,TO
ORD00064,2023-02-04,C021,P003,3,403.26,SC
ORD00065,2023-07-25,C049,P015,3,406.89,AM
