Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,State
ORD00001,2023-04-13,C047,P001,4,480.62,GO
ORD00002,2024-03-11,C007,P013,3,215.91,RR
ORD00003,2023-09-28,C036,P015,3,285.43,AM
ORD00004,2023-04-17,C021,P016,3,311.31,MT
ORD00005,2023-03-13,C050,P011,2,317.58,MA
ORD00006,2024-12-01,C040,P003,1,207.06,RS
ORD00007,2023-01-21,C012,P008,1,84.65,DF
ORD00008,2024-09-06,C015,P006,2,44.52,SP
ORD00009,2023-05-02,C015,P005,2,453.93,BA
ORD00010,2024-04-11,C017,P015,2,189.61,PR
ORD00011,2023-08-03,C034,P009,3,98.54,DF
ORD00012,2023-11-27,C044,P005,4,491.95,PE
ORD00013,2024-04-03,C035,P010,3,403.42,RS
ORD00014,2023-03-29,C039,P006,4,490.78,MT
ORD00015,2024-01-08,C038,P011,1,146.61,ES
ORD00016,2023-04-10,C014,P004,4,236.99,AL
ORD00017,2024-10-25,C005,P020,2,406.26,ES
ORD00018,2023-05-11,C030,P012,1,280.43,PR
ORD00019,2024-10-23,C004,P020,4,183.93,BA
ORD00020,2023-11-05,C015,P006,2,87.63,ES
ORD00021,2023-12-10,C039,P001,4,285.26,AL
ORD00022,2024-05-06,C035,P018,4,303.21,SC
ORD00023,2024-02-18,C045,P002,4,363.17,RS
ORD00024,2024-01-21,C010,P005,1,397.36,RN
ORD00025,2023-07-11,C002,P016,4,67.87,MG
ORD00026,2023-10-04,C044,P012,2,317.7,SP
ORD00027,2023-06-10,C024,P012,4,392.91,MS
ORD00028,2024-04-04,C028,P011,2,200.61,AP
ORD00029,2023-11-10,C022,P020,3,145.03,AP
ORD00030,2023-01-22,C044,P019,1,245.03,SC
ORD00031,2023-09-10,C032,P007,3,161.94,TO
ORD00032,2024-07-14,C031,P002,3,259.83,AL
ORD00033,2024-04-19,C019,P006,1,161.16,PA
ORD00034,2023-02-28,C021,P004,3,217.12,PA
ORD00035,2024-05-25,C003,P002,2,458.42,AP
ORD00036,2024-11-12,C006,P017,2,459.14,ES
ORD00037,2024-04-20,C032,P008,2,496.17,SP
ORD00038,2024-11-30,C002,P005,2,248.2,MT
ORD00039,2023-07-09,C024,P010,3,92.34,PB
ORD00040,2024-11-17,C045,P016,1,445.62,PE
ORD00041,2024-07-16,C027,P002,3,302.45,SC
ORD00042,2024-07-20,C009,P019,1,376.38,PB
ORD00043,2023-09-01,C013,P007,1,89.67,MA
ORD00044,2024-05-19,C014,P002,3,166.65,DF
ORD00045,2023-05-11,C011,P013,3,144.86,PR
ORD00046,2024-04-29,C014,P004,2,284.28,PR
ORD00047,2024-10-08,C016,P016,1,498.62,PI
ORD00048,2023-01-21,C010,P010,1,310.05,AC
ORD00049,2023-06-16,C020,P017,4,290.7,PB
ORD00050,2023-10-01,C016,P014,1,381.95,DF
ORD00051,2024-01-23,C034,P012,2,171.12,ES
ORD00052,2024-08-23,C016,P013,1,134.06,MG
ORD00053,2023-11-12,C014,P020,4,420.64,AC
ORD00054,2023-01-14,C028,P008,4,480.67,AM
ORD00055,2023-08-30,C018,P017,1,216.49,AP
ORD00056,2023-12-12,C026,P018,2,30.22,RS
ORD00057,2024-07-18,C038,P010,4,97.79,SP
ORD00058,2023-12-06,C007,P013,4,429.92,MS
ORD00059,2023-04-02,C045,P002,4,69.61,PE
ORD00060,2024-01-02,C034,P017,3,383.87,RJ
ORD00061,2024-03-30,C047,P006,2,313.92,PI
ORD00062,2024-03-03,C049,P012,2,366.1,AC
ORD00063,2024-05-23,C045,P013,3,135.73,CE
ORD00064,2023-02-04,C007,P004,1,18.98,CE
ORD00065,2023-07-25,C033,P015,4,29.48,SP
ORD00066,2023-03-22,C035,P016,4,365.18,TO
ORD00067,2024-07-15,C050,P019,3,310.56,PB
ORD00068,2024-01-23,C039,P015,1,421.82,SC
ORD00069,2023-01-02,C021,P006,2,205.63,PI
ORD00070,2024-01-25,C049,P020,1,282.22,MT
ORD00071,2024-07-19,C028,P006,2,393.92,SP
ORD00072,2023-04-16,C032,P005,4,253.36,RO
ORD00073,2024-04-21,C044,P002,1,496.74,SP
ORD00074,2024-12-03,C016,P020,2,374.02,RR
ORD00075,2024-02-06,C010,P002,1,344.82,SC
ORD00076,2024-12-30,C023,P005,1,402.75,MA
ORD00077,2024-07-09,C048,P003,1,390.82,DF
ORD00078,2023-06-11,C050,P006,3,117.65,PA
ORD00079,2023-07-21,C015,P011,2,113.09,SC
ORD00080,2023-09-27,C043,P005,2,306.98,SP
ORD00081,2023-09-28,C050,P018,4,223.66,PR
ORD00082,2024-03-31,C006,P014,2,437.07,CE
ORD00083,2024-04-06,C033,P010,4,152.15,MG
ORD00084,2024-12-27,C039,P003,3,172.12,SE
ORD00085,2023-09-09,C012,P016,4,91.49,RR
ORD00086,2024-12-02,C036,P016,4,491.05,PI
ORD00087,2023-10-23,C031,P011,3,66.86,RR
ORD00088,2024-12-25,C010,P004,3,491.62,AC
ORD00089,2024-12-20,C034,P011,3,356.13,MT
ORD00090,2023-12-04,C041,P008,1,53.68,SE
ORD00091,2023-02-22,C010,P016,2,84.49,AM
ORD00092,2023-08-05,C011,P008,1,170.22,MA
ORD00093,2023-07-07,C014,P009,4,137.57,AP
ORD00094,2024-01-15,C003,P014,3,486.83,PB
ORD00095,2024-05-07,C033,P008,3,310.54,RN
ORD00096,2023-02-10,C007,P016,1,46.45,BA
ORD00097,2023-06-06,C004,P002,4,267.45,PR
ORD00098,2023-01-15,C039,P020,2,449.6,MA
ORD00099,2023-03-06,C048,P019,4,213.93,PR
ORD00100,2024-06-04,C010,P020,3,336.4,PB
ORD00101,2023-12-10,C015,P020,4,388.86,RN
ORD00102,2023-05-09,C016,P019,1,100.66,AM
ORD00103,2024-10-09,C038,P019,4,429.2,SC
